Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
"BUT0, RST0",TACTILE_SWITCH_PTH_6.0MM,2,MOMENTARY-SWITCH-SPST-PTH-6.0MM,
"C1, C15, C18, C2, C3, C4, C5, C6, C7, C8, C9",C0603,11,100n,
C10,B_3528-21R,1,22u,
C11,C0805K,1,330n,
"C12, C13",C0805K,2,100n,
C14,C0805K,1,10u,
C16,B_3528-21R,1,68u,
C17,C0603,1,2u2,
"COLOR0, ENC0",2X04_90,2,PINHD-2X4/90,
CONT0,TRIMPOT-SMD-3MM-CLOSED,1,10k,
D1,WE-TVS_SOT23-6L,1,WE-TVS-HS_SOT23-6L_82400102,
"D3, D4, D6",MICROMELF-W,3,BAS85,
D7,DO-214AC,1,BAS85,
JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,SolderJumper_2_Open,
"JP6, JP7",1X02,2,PINHD-1X2,
LCD1,LCD-16X2_NOSILK,1,LCD-16X2NOSILK,
M1,DRV8833_MODULE,1,DRV8833,
"MOT1, MOT2, X2",1751248,3,1751248,
Q1,SO-8,1,BSO201SP,
"Q2, Q3, Q4",SOT23,3,BSS123,
"R1, R10, R20, R21, R31, R32, R9",R0603,7,10K,
"R2, R25, R29, R30, R6, R7",R0603,6,4K7,
"R22, R23, R33, R34",R0603,4,20K,
R24,R0603,1,27K,
"R3, R4, R5",R0603,3,R-EU_R0603,
R35,R0603,1,6K8,
R8,R0603,1,330R,
"RX0, TX0",CHIP-LED0603,2,LEDCHIP-LED0603,
SERVO0,1X03_90,1,PINHD-1X3/90,
SW1,SW_E-Switch_EG1271_SPDT,1,SW_DPDT_x2,
SWD0,1X06,1,SWD,
U$1,ESP01,1,ESP01,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F411RCTx,
U2_2,DPACK,1,LP2950?CDT,
U2,PCB_IMU,1,~,
U4,SSOP28,1,FT232RL,
U5,SOT223,1,LD117A?S,
US0,1X04_90,1,PINHD-1X4/90,
X1,CSTCE,1,MURATA_CSTCE,
X6,KUSBVX-BS1N,1,KUSBVX-BS1N,
