Designator,Mid X,Mid Y,Rotation,Layer
,84.96,-114.38,0.0,top
BUT0,94.05,-114.29,180.0,top
C1,92.31,-85.68,180.0,top
C10,135.41,-104.93,90.0,top
C11,132.31,-104.455,270.0,top
C12,129.39,-95.57,90.0,top
C13,126.8,-94.13,90.0,top
C14,117.31,-91.96,270.0,top
C15,98.01,-101.18,90.0,top
C16,85.06,-109.475,270.0,top
C17,136.51,-92.68,180.0,top
C18,99.49,-112.09,270.0,top
C2,97.25,-72.43,0.0,top
C3,108.83,-77.39,270.0,top
C4,104.35,-88.7,180.0,top
C5,112.44,-111.18,270.0,top
C6,92.31,-83.68,180.0,top
C7,92.66,-78.33,90.0,top
C8,129.85,-117.06,0.0,top
C9,126.57,-109.47,90.0,top
COLOR0,121.7,-72.68,0.0,top
CONT0,76.98,-66.39,270.0,top
D1,130.15,-112.15,90.0,top
D3,111.11,-115.23,270.0,top
D4,102.4,-102.46,180.0,top
D6,127.51,-82.98,180.0,top
D7,138.84,-98.89,0.0,top
ENC0,72.51,-74.69,90.0,top
JP6,62.4034,-107.47305,90.0,top
JP7,62.3834,-115.04305,90.0,top
LCD1,105.33,-78.18,0.0,top
M1,73.63,-111.29,0.0,top
MOT1,60.04,-107.47,90.0,top
MOT2,60.03,-115.08,90.0,top
Q1,140.86,-104.04,0.0,top
Q2,132.51,-91.68,90.0,top
Q3,108.49,-66.29,0.0,top
Q4,77.31,-87.38,180.0,top
R1,129.86,-115.03,180.0,top
R10,99.5,-108.74,90.0,top
R2,130.35,-108.65,0.0,top
R20,77.9,-78.51,0.0,top
R21,77.91,-73.45,0.0,top
R22,84.71,-78.54,0.0,top
R23,84.74,-73.42,0.0,top
R24,86.7,-104.96,90.0,top
R25,66.11,-102.38,0.0,top
R29,99.5,-104.88,90.0,top
R3,117.885,-105.63,270.0,top
R30,131.36,-69.72,270.0,top
R31,77.91,-75.87,0.0,top
R32,77.98,-70.89,0.0,top
R33,84.75,-75.88,0.0,top
R34,84.76,-70.9,0.0,top
R35,84.58,-104.96,270.0,top
R4,115.185,-105.63,270.0,top
R5,111.05,-65.23,0.0,top
R6,111.61,-75.57,90.0,top
R7,108.91,-115.13,270.0,top
R8,74.21,-87.58,270.0,top
R9,136.51,-90.68,0.0,top
RST0,94.03,-106.87,180.0,top
RX0,115.21,-101.73,180.0,top
SERVO0,71.3,-86.77,90.0,top
SW1,147.57,-101.33,90.0,top
SWD0,124.71,-79.7,0.0,top
TX0,117.885,-101.73,180.0,top
U$1,103.23,-110.63,270.0,top
U1,100.83,-80.915,180.0,top
U2_2,124.985,-101.1552,90.0,top
U2,94.14,-93.8,270.0,top
U4,120.21,-112.6,270.0,top
U5,122.12,-91.97,0.0,top
US0,134.32,-72.24,270.0,top
X1,102.29,-69.92,180.0,top
X2,146.88,-85.23,90.0,top
X6,140.21,-113.7544,0.0,top
